t_s,current_A,voltage_V,temp_C,step_idx,step_type,step_comment
158.0,1.0,3.619,25.59739,9730,D,pulsed load (discharge)
159.0,1.0,3.619,25.59739,9730,D,pulsed load (discharge)
160.0,1.0,3.619,25.61295,9730,D,pulsed load (discharge)
161.0,1.0,3.619,25.62852,9730,D,pulsed load (discharge)
162.0,1.0,3.619,25.62852,9730,D,pulsed load (discharge)
163.0,1.0,3.618,25.64409,9730,D,pulsed load (discharge)
164.0,0.999,3.618,25.64409,9730,D,pulsed load (discharge)
165.0,1.001,3.618,25.64409,9730,D,pulsed load (discharge)
166.0,1.0,3.618,25.61295,9730,D,pulsed load (discharge)
167.0,1.001,3.617,25.61295,9730,D,pulsed load (discharge)
168.0,1.0,3.617,25.62852,9730,D,pulsed load (discharge)
169.0,0.999,3.617,25.62852,9730,D,pulsed load (discharge)
170.0,1.0,3.617,25.64409,9730,D,pulsed load (discharge)
171.0,0.999,3.616,25.64409,9730,D,pulsed load (discharge)
172.0,1.001,3.616,25.64409,9730,D,pulsed load (discharge)
173.0,1.0,3.616,25.64409,9730,D,pulsed load (discharge)
174.0,1.0,3.616,25.64409,9730,D,pulsed load (discharge)
175.0,1.0,3.615,25.64409,9730,D,pulsed load (discharge)
176.0,1.0,3.615,25.64409,9730,D,pulsed load (discharge)
177.0,0.999,3.615,25.64409,9730,D,pulsed load (discharge)
178.0,1.0,3.615,25.65965,9730,D,pulsed load (discharge)
179.0,1.0,3.615,25.65965,9730,D,pulsed load (discharge)
180.0,1.0,3.614,25.67522,9730,D,pulsed load (discharge)
181.0,1.0,3.614,25.67522,9730,D,pulsed load (discharge)
182.0,1.0,3.614,25.67522,9730,D,pulsed load (discharge)
183.0,1.0,3.614,25.67522,9730,D,pulsed load (discharge)
184.0,1.0,3.613,25.67522,9730,D,pulsed load (discharge)
185.0,0.999,3.613,25.67522,9730,D,pulsed load (discharge)
186.0,1.001,3.613,25.67522,9730,D,pulsed load (discharge)
187.0,0.999,3.613,25.67522,9730,D,pulsed load (discharge)
188.0,1.0,3.613,25.69079,9730,D,pulsed load (discharge)
189.0,0.999,3.612,25.67522,9730,D,pulsed load (discharge)
190.0,1.0,3.612,25.69079,9730,D,pulsed load (discharge)
191.0,1.0,3.612,25.70635,9730,D,pulsed load (discharge)
192.0,0.999,3.612,25.70635,9730,D,pulsed load (discharge)
193.0,1.0,3.612,25.70635,9730,D,pulsed load (discharge)
194.0,1.0,3.611,25.70635,9730,D,pulsed load (discharge)
195.0,0.999,3.611,25.70635,9730,D,pulsed load (discharge)
196.0,1.0,3.611,25.70635,9730,D,pulsed load (discharge)
197.0,1.0,3.611,25.70635,9730,D,pulsed load (discharge)
198.0,1.0,3.611,25.70635,9730,D,pulsed load (discharge)
199.0,1.0,3.611,25.70635,9730,D,pulsed load (discharge)
200.0,0.999,3.61,25.70635,9730,D,pulsed load (discharge)
201.0,1.0,3.61,25.70635,9730,D,pulsed load (discharge)
202.0,1.0,3.61,25.70635,9730,D,pulsed load (discharge)
203.0,1.0,3.61,25.70635,9730,D,pulsed load (discharge)
204.0,1.0,3.609,25.70635,9730,D,pulsed load (discharge)
205.0,1.0,3.609,25.70635,9730,D,pulsed load (discharge)
206.0,1.0,3.609,25.70635,9730,D,pulsed load (discharge)
207.0,0.999,3.609,25.70635,9730,D,pulsed load (discharge)
208.0,1.001,3.609,25.72192,9730,D,pulsed load (discharge)
209.0,1.0,3.608,25.72192,9730,D,pulsed load (discharge)
210.0,0.999,3.608,25.72192,9730,D,pulsed load (discharge)
211.0,1.0,3.608,25.73748,9730,D,pulsed load (discharge)
212.0,1.0,3.608,25.73748,9730,D,pulsed load (discharge)
213.0,1.0,3.608,25.73748,9730,D,pulsed load (discharge)
214.0,1.0,3.608,25.73748,9730,D,pulsed load (discharge)
215.0,1.0,3.607,25.73748,9730,D,pulsed load (discharge)
216.0,1.0,3.607,25.73748,9730,D,pulsed load (discharge)
217.0,0.999,3.607,25.73748,9730,D,pulsed load (discharge)
218.0,1.0,3.607,25.73748,9730,D,pulsed load (discharge)
219.0,1.0,3.607,25.73748,9730,D,pulsed load (discharge)
220.0,1.0,3.607,25.73748,9730,D,pulsed load (discharge)
221.0,1.0,3.606,25.73748,9730,D,pulsed load (discharge)
222.0,1.0,3.606,25.73748,9730,D,pulsed load (discharge)
223.0,1.0,3.606,25.73748,9730,D,pulsed load (discharge)
224.0,1.0,3.606,25.73748,9730,D,pulsed load (discharge)
225.0,1.0,3.606,25.73748,9730,D,pulsed load (discharge)
226.0,1.0,3.606,25.73748,9730,D,pulsed load (discharge)
227.0,1.0,3.605,25.75305,9730,D,pulsed load (discharge)
228.0,0.999,3.605,25.75305,9730,D,pulsed load (discharge)
229.0,1.0,3.605,25.75305,9730,D,pulsed load (discharge)
230.0,1.0,3.605,25.75305,9730,D,pulsed load (discharge)
231.0,1.0,3.605,25.75305,9730,D,pulsed load (discharge)
232.0,1.0,3.604,25.75305,9730,D,pulsed load (discharge)
233.0,0.999,3.604,25.75305,9730,D,pulsed load (discharge)
234.0,1.0,3.604,25.75305,9730,D,pulsed load (discharge)
235.0,1.0,3.604,25.75305,9730,D,pulsed load (discharge)
236.0,0.999,3.604,25.75305,9730,D,pulsed load (discharge)
237.0,1.0,3.604,25.76862,9730,D,pulsed load (discharge)
238.0,0.999,3.604,25.76862,9730,D,pulsed load (discharge)
239.0,1.0,3.603,25.76862,9730,D,pulsed load (discharge)
240.0,1.0,3.603,25.76862,9730,D,pulsed load (discharge)
241.0,1.0,3.603,25.78419,9730,D,pulsed load (discharge)
242.0,1.0,3.603,25.78419,9730,D,pulsed load (discharge)
243.0,1.0,3.603,25.76862,9730,D,pulsed load (discharge)
244.0,1.0,3.603,25.76862,9730,D,pulsed load (discharge)
245.0,1.0,3.602,25.78419,9730,D,pulsed load (discharge)
246.0,1.0,3.602,25.78419,9730,D,pulsed load (discharge)
247.0,1.0,3.602,25.78419,9730,D,pulsed load (discharge)
248.0,1.0,3.602,25.78419,9730,D,pulsed load (discharge)
249.0,1.0,3.602,25.78419,9730,D,pulsed load (discharge)
250.0,1.001,3.602,25.78419,9730,D,pulsed load (discharge)
251.0,0.999,3.601,25.78419,9730,D,pulsed load (discharge)
252.0,1.0,3.601,25.78419,9730,D,pulsed load (discharge)
253.0,1.0,3.601,25.78419,9730,D,pulsed load (discharge)
254.0,1.0,3.601,25.78419,9730,D,pulsed load (discharge)
255.0,1.0,3.601,25.78419,9730,D,pulsed load (discharge)
256.0,1.0,3.601,25.79975,9730,D,pulsed load (discharge)
257.0,1.0,3.6,25.79975,9730,D,pulsed load (discharge)
258.0,1.0,3.6,25.79975,9730,D,pulsed load (discharge)
259.0,1.0,3.6,25.79975,9730,D,pulsed load (discharge)
260.0,1.0,3.6,25.79975,9730,D,pulsed load (discharge)
261.0,1.0,3.6,25.79975,9730,D,pulsed load (discharge)
262.0,1.0,3.6,25.79975,9730,D,pulsed load (discharge)
263.0,0.999,3.6,25.81532,9730,D,pulsed load (discharge)
264.0,1.001,3.599,25.81532,9730,D,pulsed load (discharge)
265.0,1.0,3.599,25.81532,9730,D,pulsed load (discharge)
266.0,0.999,3.599,25.81532,9730,D,pulsed load (discharge)
267.0,0.999,3.599,25.81532,9730,D,pulsed load (discharge)
268.0,1.0,3.599,25.81532,9730,D,pulsed load (discharge)
269.0,1.001,3.599,25.81532,9730,D,pulsed load (discharge)
270.0,0.999,3.599,25.81532,9730,D,pulsed load (discharge)
271.0,1.0,3.598,25.83088,9730,D,pulsed load (discharge)
272.0,1.0,3.598,25.83088,9730,D,pulsed load (discharge)
273.0,1.0,3.598,25.83088,9730,D,pulsed load (discharge)
274.0,0.999,3.598,25.83088,9730,D,pulsed load (discharge)
275.0,0.999,3.598,25.83088,9730,D,pulsed load (discharge)
276.0,0.999,3.598,25.83088,9730,D,pulsed load (discharge)
277.0,1.0,3.598,25.83088,9730,D,pulsed load (discharge)
278.0,1.001,3.597,25.83088,9730,D,pulsed load (discharge)
279.0,1.0,3.597,25.84645,9730,D,pulsed load (discharge)
280.0,1.0,3.597,25.84645,9730,D,pulsed load (discharge)
281.0,1.001,3.597,25.86202,9730,D,pulsed load (discharge)
282.0,0.999,3.597,25.87759,9730,D,pulsed load (discharge)
283.0,1.0,3.597,25.87759,9730,D,pulsed load (discharge)
284.0,1.001,3.597,25.87759,9730,D,pulsed load (discharge)
285.0,0.999,3.597,25.87759,9730,D,pulsed load (discharge)
286.0,1.0,3.596,25.87759,9730,D,pulsed load (discharge)
287.0,1.0,3.596,25.89315,9730,D,pulsed load (discharge)
288.0,0.999,3.596,25.87759,9730,D,pulsed load (discharge)
289.0,1.0,3.596,25.87759,9730,D,pulsed load (discharge)
290.0,1.0,3.596,25.87759,9730,D,pulsed load (discharge)
291.0,1.0,3.596,25.87759,9730,D,pulsed load (discharge)
292.0,1.0,3.595,25.89315,9730,D,pulsed load (discharge)
293.0,1.0,3.595,25.89315,9730,D,pulsed load (discharge)
294.0,1.0,3.595,25.89315,9730,D,pulsed load (discharge)
295.0,1.0,3.595,25.89315,9730,D,pulsed load (discharge)
296.0,1.0,3.595,25.89315,9730,D,pulsed load (discharge)
297.0,0.999,3.595,25.89315,9730,D,pulsed load (discharge)
298.0,1.0,3.595,25.90872,9730,D,pulsed load (discharge)
299.0,1.0,3.594,25.90872,9730,D,pulsed load (discharge)
300.0,1.0,3.594,25.90872,9730,D,pulsed load (discharge)
301.0,1.0,3.594,25.90872,9730,D,pulsed load (discharge)
302.0,0.999,3.594,25.92429,9730,D,pulsed load (discharge)
303.0,1.0,3.594,25.90872,9730,D,pulsed load (discharge)
304.0,0.999,3.594,25.90872,9730,D,pulsed load (discharge)
305.0,1.001,3.594,25.90872,9730,D,pulsed load (discharge)
306.0,1.0,3.594,25.90872,9730,D,pulsed load (discharge)
307.0,1.0,3.593,25.90872,9730,D,pulsed load (discharge)
308.0,1.001,3.593,25.92429,9730,D,pulsed load (discharge)
309.0,1.0,3.593,25.92429,9730,D,pulsed load (discharge)
310.0,1.0,3.593,25.93985,9730,D,pulsed load (discharge)
311.0,1.0,3.593,25.93985,9730,D,pulsed load (discharge)
312.0,1.0,3.593,25.93985,9730,D,pulsed load (discharge)
313.0,0.999,3.593,25.93985,9730,D,pulsed load (discharge)
314.0,1.0,3.593,25.95542,9730,D,pulsed load (discharge)
315.0,1.0,3.592,25.95542,9730,D,pulsed load (discharge)
316.0,0.999,3.592,25.95542,9730,D,pulsed load (discharge)
317.0,1.001,3.592,25.95542,9730,D,pulsed load (discharge)
318.0,1.0,3.592,25.95542,9730,D,pulsed load (discharge)
319.0,1.0,3.592,25.95542,9730,D,pulsed load (discharge)
320.0,1.0,3.592,25.97099,9730,D,pulsed load (discharge)
321.0,1.0,3.592,25.97099,9730,D,pulsed load (discharge)
322.0,0.999,3.592,25.97099,9730,D,pulsed load (discharge)
323.0,1.0,3.592,25.97099,9730,D,pulsed load (discharge)
324.0,1.0,3.591,25.97099,9730,D,pulsed load (discharge)
325.0,1.0,3.591,25.97099,9730,D,pulsed load (discharge)
326.0,1.0,3.591,25.97099,9730,D,pulsed load (discharge)
327.0,0.999,3.591,25.98655,9730,D,pulsed load (discharge)
328.0,1.0,3.591,25.98655,9730,D,pulsed load (discharge)
329.0,1.0,3.591,25.98655,9730,D,pulsed load (discharge)
330.0,1.0,3.591,26.00212,9730,D,pulsed load (discharge)
331.0,1.0,3.591,26.00212,9730,D,pulsed load (discharge)
332.0,1.0,3.59,26.00212,9730,D,pulsed load (discharge)
333.0,0.999,3.59,26.00212,9730,D,pulsed load (discharge)
334.0,1.001,3.59,26.00212,9730,D,pulsed load (discharge)
335.0,0.999,3.59,26.00212,9730,D,pulsed load (discharge)
336.0,1.001,3.59,26.01768,9730,D,pulsed load (discharge)
337.0,1.0,3.59,26.01768,9730,D,pulsed load (discharge)
338.0,1.0,3.59,26.01768,9730,D,pulsed load (discharge)
339.0,1.0,3.59,26.01768,9730,D,pulsed load (discharge)
340.0,1.0,3.589,26.01768,9730,D,pulsed load (discharge)
341.0,0.999,3.589,26.03325,9730,D,pulsed load (discharge)
342.0,1.0,3.589,26.03325,9730,D,pulsed load (discharge)
343.0,1.0,3.589,26.01768,9730,D,pulsed load (discharge)
344.0,1.0,3.589,26.03325,9730,D,pulsed load (discharge)
345.0,0.999,3.589,26.03325,9730,D,pulsed load (discharge)
346.0,1.0,3.589,26.03325,9730,D,pulsed load (discharge)
347.0,0.999,3.589,26.04882,9730,D,pulsed load (discharge)
348.0,1.0,3.588,26.04882,9730,D,pulsed load (discharge)
349.0,1.0,3.588,26.04882,9730,D,pulsed load (discharge)
350.0,1.001,3.588,26.04882,9730,D,pulsed load (discharge)
351.0,0.999,3.588,26.04882,9730,D,pulsed load (discharge)
352.0,1.0,3.588,26.04882,9730,D,pulsed load (discharge)
353.0,1.0,3.588,26.04882,9730,D,pulsed load (discharge)
354.0,1.0,3.588,26.04882,9730,D,pulsed load (discharge)
355.0,0.999,3.588,26.04882,9730,D,pulsed load (discharge)
356.0,0.999,3.588,26.06439,9730,D,pulsed load (discharge)
357.0,1.0,3.587,26.06439,9730,D,pulsed load (discharge)
358.0,0.999,3.587,26.06439,9730,D,pulsed load (discharge)
359.0,1.0,3.587,26.07995,9730,D,pulsed load (discharge)
360.0,1.0,3.587,26.07995,9730,D,pulsed load (discharge)
361.0,1.0,3.587,26.07995,9730,D,pulsed load (discharge)
362.0,1.0,3.587,26.07995,9730,D,pulsed load (discharge)
363.0,1.0,3.587,26.07995,9730,D,pulsed load (discharge)
364.0,0.999,3.587,26.07995,9730,D,pulsed load (discharge)
365.0,1.0,3.587,26.09552,9730,D,pulsed load (discharge)
366.0,1.0,3.586,26.09552,9730,D,pulsed load (discharge)
367.0,0.999,3.586,26.09552,9730,D,pulsed load (discharge)
368.0,1.0,3.586,26.09552,9730,D,pulsed load (discharge)
369.0,1.001,3.586,26.09552,9730,D,pulsed load (discharge)
370.0,0.999,3.586,26.09552,9730,D,pulsed load (discharge)
371.0,1.0,3.586,26.09552,9730,D,pulsed load (discharge)
372.0,1.0,3.586,26.09552,9730,D,pulsed load (discharge)
373.0,1.0,3.586,26.09552,9730,D,pulsed load (discharge)
374.0,1.0,3.586,26.11109,9730,D,pulsed load (discharge)
375.0,1.0,3.585,26.11109,9730,D,pulsed load (discharge)
376.0,1.0,3.585,26.11109,9730,D,pulsed load (discharge)
377.0,1.0,3.585,26.11109,9730,D,pulsed load (discharge)
378.0,1.0,3.585,26.11109,9730,D,pulsed load (discharge)
379.0,0.999,3.585,26.11109,9730,D,pulsed load (discharge)
380.0,1.0,3.585,26.11109,9730,D,pulsed load (discharge)
381.0,0.999,3.585,26.12665,9730,D,pulsed load (discharge)
382.0,1.001,3.585,26.12665,9730,D,pulsed load (discharge)
383.0,0.999,3.585,26.14222,9730,D,pulsed load (discharge)
384.0,1.0,3.584,26.14222,9730,D,pulsed load (discharge)
385.0,1.0,3.584,26.14222,9730,D,pulsed load (discharge)
386.0,0.999,3.584,26.14222,9730,D,pulsed load (discharge)
387.0,1.0,3.584,26.15779,9730,D,pulsed load (discharge)
388.0,1.0,3.584,26.15779,9730,D,pulsed load (discharge)
389.0,1.0,3.584,26.15779,9730,D,pulsed load (discharge)
390.0,0.999,3.584,26.15779,9730,D,pulsed load (discharge)
391.0,0.999,3.584,26.15779,9730,D,pulsed load (discharge)
392.0,0.999,3.584,26.15779,9730,D,pulsed load (discharge)
393.0,1.0,3.584,26.17335,9730,D,pulsed load (discharge)
394.0,0.999,3.583,26.17335,9730,D,pulsed load (discharge)
395.0,1.0,3.583,26.17335,9730,D,pulsed load (discharge)
396.0,1.001,3.583,26.17335,9730,D,pulsed load (discharge)
397.0,0.999,3.583,26.17335,9730,D,pulsed load (discharge)
398.0,1.0,3.583,26.17335,9730,D,pulsed load (discharge)
399.0,0.999,3.583,26.17335,9730,D,pulsed load (discharge)
400.0,1.001,3.583,26.17335,9730,D,pulsed load (discharge)
401.0,1.0,3.583,26.17335,9730,D,pulsed load (discharge)
402.0,0.999,3.583,26.17335,9730,D,pulsed load (discharge)
403.0,1.0,3.583,26.18892,9730,D,pulsed load (discharge)
404.0,1.0,3.582,26.18892,9730,D,pulsed load (discharge)
405.0,1.0,3.582,26.18892,9730,D,pulsed load (discharge)
406.0,1.0,3.582,26.18892,9730,D,pulsed load (discharge)
407.0,1.0,3.582,26.18892,9730,D,pulsed load (discharge)
408.0,1.0,3.582,26.18892,9730,D,pulsed load (discharge)
409.0,1.0,3.582,26.18892,9730,D,pulsed load (discharge)
410.0,0.999,3.582,26.20448,9730,D,pulsed load (discharge)
411.0,1.001,3.582,26.20448,9730,D,pulsed load (discharge)
412.0,0.999,3.582,26.20448,9730,D,pulsed load (discharge)
413.0,1.0,3.582,26.22005,9730,D,pulsed load (discharge)
414.0,1.001,3.581,26.22005,9730,D,pulsed load (discharge)
